seed,acc,prec,recall
688.0,0.799,0.732,0.754
689.0,0.81,0.754,0.754
690.0,0.788,0.731,0.71
691.0,0.799,0.739,0.739
692.0,0.793,0.742,0.71
693.0,0.799,0.754,0.71
694.0,0.804,0.736,0.768
695.0,0.799,0.732,0.754
696.0,0.799,0.739,0.739
697.0,0.799,0.732,0.754
698.0,0.804,0.75,0.739
699.0,0.777,0.716,0.696
700.0,0.793,0.742,0.71
701.0,0.793,0.735,0.725
702.0,0.799,0.739,0.739
703.0,0.793,0.742,0.71
704.0,0.799,0.746,0.725
705.0,0.81,0.769,0.725
706.0,0.799,0.732,0.754
707.0,0.804,0.743,0.754
708.0,0.804,0.758,0.725
709.0,0.793,0.722,0.754
710.0,0.793,0.722,0.754
711.0,0.804,0.758,0.725
712.0,0.782,0.734,0.681
713.0,0.804,0.743,0.754
714.0,0.81,0.761,0.739
715.0,0.799,0.732,0.754
716.0,0.799,0.746,0.725
717.0,0.804,0.758,0.725
718.0,0.793,0.75,0.696
719.0,0.793,0.742,0.71
720.0,0.793,0.722,0.754
721.0,0.788,0.731,0.71
722.0,0.799,0.746,0.725
723.0,0.799,0.732,0.754
724.0,0.788,0.718,0.739
725.0,0.804,0.736,0.768
726.0,0.804,0.75,0.739
727.0,0.799,0.746,0.725
728.0,0.799,0.739,0.739
729.0,0.804,0.758,0.725
730.0,0.788,0.725,0.725
731.0,0.804,0.736,0.768
732.0,0.793,0.742,0.71
733.0,0.81,0.746,0.768
734.0,0.793,0.722,0.754
735.0,0.788,0.738,0.696
736.0,0.799,0.746,0.725
737.0,0.81,0.74,0.783
738.0,0.799,0.762,0.696
739.0,0.804,0.766,0.71
740.0,0.793,0.742,0.71
741.0,0.804,0.743,0.754
742.0,0.793,0.729,0.739
743.0,0.793,0.75,0.696
744.0,0.793,0.722,0.754
745.0,0.804,0.75,0.739
746.0,0.81,0.761,0.739
747.0,0.799,0.762,0.696
748.0,0.793,0.735,0.725
749.0,0.804,0.75,0.739
750.0,0.793,0.735,0.725
751.0,0.782,0.734,0.681
752.0,0.793,0.735,0.725
753.0,0.799,0.746,0.725
754.0,0.799,0.762,0.696
755.0,0.81,0.761,0.739
756.0,0.793,0.735,0.725
757.0,0.793,0.742,0.71
758.0,0.816,0.765,0.754
759.0,0.804,0.736,0.768
760.0,0.804,0.743,0.754
761.0,0.793,0.735,0.725
762.0,0.782,0.734,0.681
763.0,0.782,0.734,0.681
764.0,0.793,0.75,0.696
765.0,0.804,0.736,0.768
766.0,0.804,0.75,0.739
767.0,0.799,0.746,0.725
768.0,0.788,0.725,0.725
769.0,0.799,0.726,0.768
770.0,0.793,0.735,0.725
771.0,0.799,0.732,0.754
772.0,0.793,0.735,0.725
773.0,0.788,0.738,0.696
774.0,0.788,0.731,0.71
775.0,0.799,0.739,0.739
776.0,0.804,0.766,0.71
777.0,0.799,0.746,0.725
778.0,0.782,0.742,0.667
779.0,0.804,0.736,0.768
780.0,0.793,0.742,0.71
781.0,0.799,0.746,0.725
782.0,0.799,0.726,0.768
783.0,0.799,0.739,0.739
784.0,0.799,0.739,0.739
785.0,0.804,0.75,0.739
786.0,0.793,0.735,0.725
787.0,0.799,0.746,0.725
788.0,0.804,0.736,0.768
789.0,0.799,0.739,0.739
790.0,0.788,0.738,0.696
791.0,0.799,0.746,0.725
792.0,0.793,0.735,0.725
793.0,0.799,0.732,0.754
794.0,0.793,0.735,0.725
795.0,0.799,0.739,0.739
796.0,0.799,0.732,0.754
797.0,0.799,0.754,0.71
798.0,0.81,0.761,0.739
799.0,0.788,0.738,0.696
800.0,0.804,0.75,0.739
801.0,0.799,0.739,0.739
802.0,0.799,0.739,0.739
803.0,0.799,0.746,0.725
804.0,0.799,0.746,0.725
805.0,0.81,0.769,0.725
806.0,0.799,0.746,0.725
807.0,0.804,0.758,0.725
808.0,0.799,0.762,0.696
809.0,0.788,0.738,0.696
810.0,0.793,0.735,0.725
811.0,0.793,0.729,0.739
812.0,0.804,0.758,0.725
813.0,0.793,0.735,0.725
814.0,0.793,0.735,0.725
815.0,0.793,0.735,0.725
816.0,0.793,0.735,0.725
817.0,0.788,0.725,0.725
818.0,0.816,0.757,0.768
819.0,0.788,0.738,0.696
820.0,0.793,0.735,0.725
821.0,0.793,0.75,0.696
822.0,0.793,0.735,0.725
823.0,0.799,0.746,0.725
824.0,0.799,0.746,0.725
825.0,0.804,0.758,0.725
826.0,0.804,0.75,0.739
827.0,0.804,0.75,0.739
828.0,0.799,0.739,0.739
829.0,0.793,0.735,0.725
830.0,0.793,0.742,0.71
831.0,0.788,0.738,0.696
832.0,0.799,0.732,0.754
833.0,0.793,0.75,0.696
834.0,0.81,0.761,0.739
835.0,0.793,0.735,0.725
836.0,0.804,0.758,0.725
837.0,0.804,0.743,0.754
838.0,0.81,0.761,0.739
839.0,0.81,0.754,0.754
840.0,0.793,0.735,0.725
841.0,0.799,0.739,0.739
842.0,0.804,0.758,0.725
843.0,0.788,0.746,0.681
844.0,0.793,0.75,0.696
845.0,0.793,0.735,0.725
846.0,0.81,0.746,0.768
847.0,0.793,0.729,0.739
848.0,0.799,0.754,0.71
849.0,0.804,0.743,0.754
850.0,0.804,0.758,0.725
851.0,0.793,0.742,0.71
852.0,0.799,0.732,0.754
853.0,0.793,0.735,0.725
854.0,0.821,0.785,0.739
855.0,0.804,0.75,0.739
856.0,0.799,0.746,0.725
857.0,0.804,0.75,0.739
858.0,0.81,0.74,0.783
859.0,0.81,0.761,0.739
860.0,0.799,0.726,0.768
861.0,0.799,0.746,0.725
862.0,0.804,0.736,0.768
863.0,0.804,0.736,0.768
864.0,0.799,0.746,0.725
865.0,0.804,0.743,0.754
866.0,0.81,0.746,0.768
867.0,0.793,0.729,0.739
868.0,0.793,0.722,0.754
869.0,0.81,0.769,0.725
870.0,0.788,0.738,0.696
871.0,0.81,0.746,0.768
